page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max,label
/government/publications/low-income-debt-and-health,guidance,guidance and regulation,1,0,0,0,1,
/government/publications/civil-service-jobs-how-to-advertise-or-apply-for-a-vacancy,guidance,guidance and regulation,1,0,0,0,1,
/tenancy-agreements-a-guide-for-landlords/tenancy-types,guide,services,1,0,0,0,1,
/government/statistics/northern-ireland-business-register-and-employment-survey-2020,national_statistics,research and statistics,1,1,0,0,1,
/government/publications/additional-statutory-paternity-pay-non-payment-explanation-aspp1,form,services,1,0,0,0,1,
/find-driving-test-centre,transaction,services,4,0,1,0,1,
/blue-badge-scheme-information-council,local_transaction,services,8,1,3,0,1,
/guidance/learn-about-our-approved-contractor-scheme,detailed_guide,guidance and regulation,1,0,0,0,1,
/government/publications/eu-settlement-scheme-frontier-workers-and-their-family-members/if-the-uk-leaves-the-eu-with-a-deal,html_publication,other,7,1,0,0,1,
/appeal-call-up-reserve-forces/after-you-send-your-application,guide,services,2,1,0,0,1,
/government/publications/determining-eligibility-for-blue-badge-and-concessionary-travel/determining-blue-badge-and-concessionary-travel-eligibility-in-england-using-personal-independence-payment-pip-award-notifications,html_publication,other,1,0,0,0,1,
/government/publications/ilr-data-provider-data-self-assessment-toolkit-pdsat,guidance,guidance and regulation,1,0,0,0,1,
/file-your-company-accounts-and-tax-return,transaction,services,1,1,0,0,1,
/world/tonga,taxon,other,1,0,0,1,1,
/standard-visitor-visa/what-you-can-do-in-the-uk,guide,services,26,1,1,0,1,
/government/publications/whats-involved-in-being-a-driving-instructor/approved-driving-instructor-adi-register-guide,html_publication,other,6,0,2,0,1,
/government/publications/give-notice-of-subscribers-company-with-share-capital,form,services,1,0,0,0,1,
/government/publications/travelling-to-the-uk,guidance,guidance and regulation,3,0,1,0,1,
/government/collections/countryside-stewardship,document_collection,other,1,0,0,0,1,
/guidance/domestic-abuse-how-to-get-help,detailed_guide,guidance and regulation,5,2,1,0,1,
/guidance/prompt-payment-policy,detailed_guide,guidance and regulation,1,0,1,0,1,
/tax-limited-company-gives-to-charity/sponsoring-a-charity,guide,services,1,0,0,0,1,
/government/publications/gce-subject-level-guidance-for-science,statutory_guidance,guidance and regulation,1,0,0,0,1,
/introduction-to-business-rates/if-your-business-or-premises-change-or-cant-be-used,guide,services,1,0,0,0,1,
/government/publications/environmental-land-management-schemes-overview/environmental-land-management-scheme-overview,html_publication,other,1,0,0,0,1,
/asylum-support/further-information,guide,services,3,0,0,0,1,
/vaccine-damage-payment/eligibility,guide,services,12,0,0,0,1,
/volunteering/print,guide,services,2,0,0,0,1,
/government/publications/brp-requirements-and-replacement-procedures,foi_release,transparency,1,0,0,0,1,
/guidance/changes-to-external-quality-assurance-for-end-point-assessment-organisations,detailed_guide,guidance and regulation,2,0,0,0,1,
/government/statistics/coronavirus-job-retention-scheme-statistics-29-july-2021/coronavirus-job-retention-scheme-statistics-29-july-2021,html_publication,other,2,0,0,1,1,
/government/publications/qualified-teacher-status-routes-to-qts-for-teachers-and-those-with-teaching-experience-outside-the-uk,guidance,guidance and regulation,3,1,0,0,1,
/school-performance-tables,transaction,services,11,5,1,0,1,
/hmrc-internal-manuals/national-minimum-wage-manual/nmwm05320,hmrc_manual,guidance and regulation,1,0,0,0,1,
/government/publications/termination-of-esfa-funding-agreements,guidance,guidance and regulation,2,1,0,0,1,
/make-a-freedom-of-information-request/organisations-you-can-ask-for-information,guide,services,4,0,0,0,1,
/apply-for-bevin-boys-veterans-badge,answer,services,2,0,0,0,1,
/apply-for-business-rate-relief/small-business-rate-relief,guide,services,8,2,1,0,1,
