page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max
/jobcentre-plus-help-for-recruiters/other-employment-schemes,guide,services,34,3,0,0,6.0
/photos-for-passports,guide,services,32,9,3,0,6.0
/change-name-driving-licence,answer,services,19,4,5,0,6.0
/view-right-to-rent,transaction,services,93,28,16,0,6.0
/government/publications/claiming-discretionary-housing-payments/claiming-discretionary-housing-payments,html_publication,other,51,6,6,0,6.0
/report-changes-child-benefit,answer,services,41,2,4,0,6.0
/pension-credit/what-youll-get,guide,services,305,26,12,2,6.0
/looking-for-work-if-disabled/applying-for-a-job,guide,services,90,20,4,1,6.0
/government/publications/the-government-economic-service-degree-level-apprenticeship,guidance,guidance and regulation,13,5,3,1,6.0
/expenses-and-benefits-a-to-z,answer,services,19,1,1,0,6.0
/when-mental-health-condition-becomes-disability,answer,services,59,11,14,2,6.0
/get-undergraduate-student-loan,step_by_step_nav,services,18,2,0,0,6.0
/attendance-allowance/eligibility,guide,services,116,6,6,0,6.0
/children-with-special-educational-needs/extra-sen-help,guide,services,12,2,3,0,6.0
/apply-first-adult-passport,guide,services,30,3,2,0,6.0
/self-assessment-tax-returns/deadlines,guide,services,19,2,2,1,6.0
/bringing-goods-into-uk-personal-use,guide,services,25,1,1,0,6.0
/attendance-allowance/what-youll-get,guide,services,136,7,4,1,6.0
/jobcentre-plus-help-for-recruiters/recruitment-advice-and-support,guide,services,79,26,3,0,6.0
/access-to-work/after-you-have-applied,guide,services,264,45,8,1,6.0
/jobseekers-allowance/print,guide,services,23,4,0,0,6.0
/government/collections/how-to-manually-check-your-payroll-calculations,document_collection,other,29,4,4,0,6.0
/update-property-records-someone-dies,guide,services,13,0,0,0,6.0
/government/publications/dbs-update-service-employer-guide,guidance,guidance and regulation,69,5,4,0,6.0
/government/publications/maternity-allowance-claim-form,form,services,49,14,1,0,6.0
/support-for-mortgage-interest,guide,services,46,6,1,0,6.0
/guidance/enter-the-uk-as-an-s2-healthcare-visitor,detailed_guide,guidance and regulation,9,1,0,0,6.0
/government/publications/skilled-worker-visa-eligible-healthcare-and-education-jobs/skilled-worker-visa-eligible-healthcare-and-education-jobs,html_publication,other,16,0,0,1,6.0
/government/organisations/civil-service-government-economic-service,organisation,other,7,1,3,0,6.0
/log-in-hmrc-excise-import-export,answer,services,53,5,22,0,6.0
/tell-hmrc-change-of-details/income-changes,guide,services,45,1,3,0,6.0
/student-visa/family-members,guide,services,26,4,4,1,6.0
/government/publications/guidance-on-claiming-a-state-pension-if-you-retire-abroad,form,services,124,57,5,2,6.0
/voluntary-national-insurance-contributions/who-can-pay-voluntary-contributions,guide,services,180,9,8,0,6.0
/disabled-facilities-grants/eligibility,guide,services,27,0,1,0,6.0
/government/publications/national-insurance-statement-of-national-insurance-contributions-ca3916,form,services,26,10,6,0,6.0
/understanding-your-pay/deductions-from-your-pay,guide,services,53,9,8,2,6.0
/advanced-learner-loan/bursary-fund,guide,services,44,5,3,0,6.0
/welfare,taxon,other,11,0,2,0,6.0
/government/publications/universal-credit-changes-to-limited-capability-for-work-payments/changes-to-limited-capability-for-work-payments-in-universal-credit,html_publication,other,14,3,3,0,6.0
/tax-on-your-private-pension/pension-tax-relief,guide,services,89,8,16,5,6.0
/learner-support,guide,services,79,4,3,0,6.0
/visa-documents-returned,answer,services,126,21,6,0,6.0
/government/publications/points-based-system-student-route,guidance,guidance and regulation,24,4,6,0,6.0
/government/publications/maternity-benefits-technical-guidance,guidance,guidance and regulation,22,1,0,0,6.0
/government/publications/dbs-workforce-guidance,guidance,guidance and regulation,59,15,3,0,6.0
/guidance/eu-settlement-scheme-how-we-use-your-personal-information,detailed_guide,guidance and regulation,37,1,10,1,6.0
/discrimination-your-rights/what-you-can-do,guide,services,39,5,1,0,6.0
/moving-to-uk,answer,services,13,0,2,0,6.0
